group,position,name,cc00_msb,cc32_lsb,pc,user_patch_index,librarian_slot,user_patch_address,editable,source_line
SuperNATURAL,1,Violin,66,0,1,,,,False,2454
SuperNATURAL,2,Cello,66,0,2,,,,False,2455
SuperNATURAL,3,Shakuhachi,66,0,3,,,,False,2456
SuperNATURAL,4,Trombone,66,0,4,,,,False,2457
SPECIAL,5,Trumpet,87,64,1,,,,False,2459
SPECIAL,6,Sax,87,64,2,,,,False,2460
SPECIAL,7,Strings,87,64,3,,,,False,2461
SPECIAL,8,Jazz Scat,87,64,4,,,,False,2462
Synth Lead 1,1,AX Saw Lead,87,0,1,0,1-1,30 00 00 00,True,2464
Synth Lead 1,2,AX Sync Lead,87,0,2,1,1-2,30 01 00 00,True,2465
Synth Lead 1,3,GR300 Lead 1,87,0,3,2,1-3,30 02 00 00,True,2466
Synth Lead 1,4,JupiterLead1,87,0,4,3,1-4,30 03 00 00,True,2467
Synth Lead 1,5,JupiterLead2,87,0,5,4,1-5,30 04 00 00,True,2468
Synth Lead 1,6,Saw Lead 1,87,0,6,5,1-6,30 05 00 00,True,2469
Synth Lead 1,7,Saw Lead 2,87,0,7,6,1-7,30 06 00 00,True,2470
Synth Lead 1,8,Saw Lead 3,87,0,8,7,1-8,30 07 00 00,True,2471
Synth Lead 1,9,Saw Lead 4,87,0,9,8,1-9,30 08 00 00,True,2472
Synth Lead 1,10,Saw Lead 5,87,0,10,9,1-10,30 09 00 00,True,2473
Synth Lead 1,11,Classic Ld,87,0,11,10,1-11,30 0A 00 00,True,2474
Synth Lead 1,12,Delayed Lead,87,0,12,11,1-12,30 0B 00 00,True,2475
Synth Lead 1,13,GR300 Lead 2,87,0,13,12,1-13,30 0C 00 00,True,2476
Synth Lead 1,14,Alpha Spit,87,0,14,13,1-14,30 0D 00 00,True,2477
Synth Lead 1,15,Pro Fat Ld,87,0,15,14,1-15,30 0E 00 00,True,2478
Synth Lead 1,16,Fat GR Lead,87,0,16,15,1-16,30 0F 00 00,True,2479
Synth Lead 1,17,Bright Pls,87,0,17,16,1-17,30 10 00 00,True,2480
Synth Lead 1,18,Octa Juice,87,0,18,17,1-18,30 11 00 00,True,2481
Synth Lead 1,19,Octa Saw,87,0,19,18,1-19,30 12 00 00,True,2482
Synth Lead 1,20,Octa Sync,87,0,20,19,1-20,30 13 00 00,True,2483
Synth Lead 1,21,Phase Lead,87,0,21,20,1-21,30 14 00 00,True,2484
Synth Lead 1,22,Waspy Lead,87,0,22,21,1-22,30 15 00 00,True,2485
Synth Lead 1,23,Follow Me,87,0,23,22,1-23,30 16 00 00,True,2486
Synth Lead 1,24,Digi Lead 1,87,0,24,23,1-24,30 17 00 00,True,2487
Synth Lead 1,25,Digi Lead 2,87,0,25,24,1-25,30 18 00 00,True,2488
Synth Lead 1,26,Hot Coffee,87,0,26,25,1-26,30 19 00 00,True,2489
Synth Lead 1,27,Hot Sync,87,0,27,26,1-27,30 1A 00 00,True,2490
Synth Lead 1,28,Sync Tank,87,0,28,27,1-28,30 1B 00 00,True,2491
Synth Lead 1,29,2krazy Brite,87,0,29,28,1-29,30 1C 00 00,True,2492
Synth Lead 1,30,Juicy Lead,87,0,30,29,1-30,30 1D 00 00,True,2493
Synth Lead 1,31,Vintager,87,0,31,30,1-31,30 1E 00 00,True,2494
Synth Lead 1,32,BagShakuLead,87,0,32,31,1-32,30 1F 00 00,True,2495
Synth Lead 2,1,ResoSawLead,87,0,33,32,2-1,30 20 00 00,True,2497
Synth Lead 2,2,Theramax 1,87,0,34,33,2-2,30 21 00 00,True,2498
Synth Lead 2,3,AX Sqr Lead,87,0,35,34,2-3,30 22 00 00,True,2499
Synth Lead 2,4,Pulse Lead 1,87,0,36,35,2-4,30 23 00 00,True,2500
Synth Lead 2,5,Pulse Lead 2,87,0,37,36,2-5,30 24 00 00,True,2501
Synth Lead 2,6,Mid Saw Ld,87,0,38,37,2-6,30 25 00 00,True,2502
Synth Lead 2,7,On Air,87,0,39,38,2-7,30 26 00 00,True,2503
Synth Lead 2,8,2krazy Soft,87,0,40,39,2-8,30 27 00 00,True,2504
Synth Lead 2,9,Soft Lead,87,0,41,40,2-9,30 28 00 00,True,2505
Synth Lead 2,10,Tri Lead 1,87,0,42,41,2-10,30 29 00 00,True,2506
Synth Lead 2,11,Tri Lead 2,87,0,43,42,2-11,30 2A 00 00,True,2507
Synth Lead 2,12,Sine Lead 1,87,0,44,43,2-12,30 2B 00 00,True,2508
Synth Lead 2,13,Sine Lead 2,87,0,45,44,2-13,30 2C 00 00,True,2509
Synth Lead 2,14,Simple Sine,87,0,46,45,2-14,30 2D 00 00,True,2510
Synth Lead 2,15,Simple Tri,87,0,47,46,2-15,30 2E 00 00,True,2511
Synth Lead 2,16,Simple Sqr,87,0,48,47,2-16,30 2F 00 00,True,2512
Synth Lead 2,17,Spooky Lead,87,0,49,48,2-17,30 30 00 00,True,2513
Synth Lead 2,18,Ramp Lead,87,0,50,49,2-18,30 31 00 00,True,2514
