user_patch,librarian_slot,family,factory_name,stored_name,name_matches_factory,category,mfx,chorus_type,reverb_type,tone1,tone2,tone3,tone4
0,1-1,Synth Lead 1,AX Saw Lead,AX Saw Lead,True,22,1:EQUALIZER,2,4,on 185:JP-8 Saw +0,off 0:None +0,on 185:JP-8 Saw +0,off 0:None +0
1,1-2,Synth Lead 1,AX Sync Lead,AX Sync Lead,True,22,52:3D DELAY,1,4,on 219:Sync Sweep +8,on 219:Sync Sweep +2,on 219:Sync Sweep -2,off 0:None +0
2,1-3,Synth Lead 1,GR300 Lead 1,GR300 Lead 1,True,22,1:EQUALIZER,2,4,on 192:GR-300 Saw 2 +0,on 192:GR-300 Saw 2 +0,off 0:None +0,off 0:None +0
3,1-4,Synth Lead 1,JupiterLead1,JupiterLead1,True,22,0:THROUGH,2,4,on 179:P5 Saw HD +0,off 179:P5 Saw HD -12,off 0:None +0,off 0:None +0
4,1-5,Synth Lead 1,JupiterLead2,JupiterLead2,True,23,0:THROUGH,0,1,on 185:JP-8 Saw +0,off 1:JD Piano +0,off 1:JD Piano +0,off 1:JD Piano +0
5,1-6,Synth Lead 1,Saw Lead 1,Saw Lead 1,True,22,0:THROUGH,2,4,on 128:SBF Vox +0,on 180:Calc.Saw +0,off 313:Jazz Organ 5 +0,off 73:Fng.EBs 1 ff +0
6,1-7,Synth Lead 1,Saw Lead 2,Saw Lead 2,True,22,1:EQUALIZER,2,4,on 180:Calc.Saw +0,on 180:Calc.Saw +0,off 0:None +0,off 0:None +0
7,1-8,Synth Lead 1,Saw Lead 3,Saw Lead 3,True,22,1:EQUALIZER,2,4,on 206:JP8 Pls 25HD +0,on 180:Calc.Saw +0,off 0:None +0,off 0:None +0
8,1-9,Synth Lead 1,Saw Lead 4,Saw Lead 4,True,22,1:EQUALIZER,2,4,on 206:JP8 Pls 25HD +0,on 180:Calc.Saw +0,off 0:None +0,off 0:None +0
9,1-10,Synth Lead 1,Saw Lead 5,Saw Lead 5,True,22,26:HEXA-CHORUS,2,4,on 186:D-50 Saw +0,on 185:JP-8 Saw +0,off 185:JP-8 Saw +0,off 151:Agogo 2 Low +0
10,1-11,Synth Lead 1,Classic Ld,Classic Ld,True,22,52:3D DELAY,1,3,on 177:MG Saw HD +8,on 177:MG Saw HD +2,on 177:MG Saw HD -2,off 0:None +0
11,1-12,Synth Lead 1,Delayed Lead,Delayed Lead,True,22,52:3D DELAY,1,3,on 180:Calc.Saw +0,on 180:Calc.Saw +0,off 1:JD Piano +0,off 1:JD Piano +0
